Player ,Pos,Age,Cap Hit,Cap Hit PctLeague Cap,Dead Cap,BaseP5 Salary,Signing BonusProration,Per GameBonus,RosterBonus,OptionBonus,WorkoutBonus,RestructureProration,IncentivesLikely,Team
Kyler Murray,QB,27,49118177,0.1923,-112421000,37000000,3518177,400000,-,7200000,1000000,-,-,ARI Cardinals
Budda Baker,S,28,22086250,0.0865,-19441666,14200000,5061250,-,-,1775000,400000,150000,500000,ARI Cardinals
Jalen Thompson,SS,26,12467750,0.0488,-12053250,8300000,2034000,150000,-,1983750,-,-,-,ARI Cardinals
Zaven Collins,ED,25,6876036,0.0269,-13271036,2900000,3710956,255000,-,-,10080,-,-,ARI Cardinals
Kyzir White,LB,28,6760080,0.0265,-6760080,5000000,1750000,-,-,-,10080,-,-,ARI Cardinals
Marvin Harrison Jr.,WR,22,6431771,0.0252,-35374742,795000,5636771,-,-,-,-,-,-,ARI Cardinals
Sean Bunting,CB,27,5955000,0.0233,-14245000,3695000,2000000,210000,-,-,50000,-,-,ARI Cardinals
Hjalte Froholdt,C,28,4133413,0.0162,-7810080,2000000,1883333,240000,-,-,10080,-,-,ARI Cardinals
Mack Wilson,LB,26,3401667,0.0133,-6495000,1945000,1166667,240000,-,-,50000,-,-,ARI Cardinals
Zach Pascal,WR,30,2670000,0.0105,-750000,1920000,750000,-,-,-,-,-,-,ARI Cardinals
Kelvin Beachum,LT,35,2557500,0.01,-1047500,1210000,1047500,300000,-,-,-,-,-,ARI Cardinals
Darius Robinson,ED,23,2525399,0.0099,-13869328,795000,1726696,-,-,-,3703,-,-,ARI Cardinals
Evan Brown,G,28,2345080,0.0092,-1100000,1445000,650000,240000,-,-,10080,-,-,ARI Cardinals
DeeJay Dallas,RB,26,2083333,0.0082,-2495000,1395000,333333,255000,-,-,100000,-,-,ARI Cardinals
Trey McBride,TE,25,1728170,0.0068,-890866,1277697,440393,-,-,-,10080,-,-,ARI Cardinals
Trystan Colon-Castillo,C,26,1727941,0.0068,-450000,1125000,250000,352941,-,-,-,-,-,ARI Cardinals
Zay Jones,WR,29,1703373,0.0067,-1150000,1018333,500000,180000,-,-,5040,-,-,ARI Cardinals
Khyiris Tonga,DL,28,1670000,0.0065,-400000,1055000,250000,260000,-,-,105000,-,-,ARI Cardinals
Max Melton,CB,22,1616056,0.0063,-6931266,795000,821056,-,-,-,-,-,-,ARI Cardinals
Baron Browning,LB,25,1558000,0.0061,-,1558000,-,-,-,-,-,-,-,ARI Cardinals
Garrett Williams,CB,23,1280666,0.005,-823599,1006133,274533,-,-,-,-,-,-,ARI Cardinals
Michael Wilson,WR,24,1213514,0.0048,-662433,992703,220811,-,-,-,-,-,-,ARI Cardinals
Aaron Brewer,LS,34,1162265,0.0046,-83750,1210000,83750,-,83750,-,9765,-,-,ARI Cardinals
Greg Dortch,WR,26,1125000,0.0044,-,1125000,-,-,-,-,-,-,-,ARI Cardinals
Victor Dimukeje,LB,25,1095465,0.0043,-40465,1055000,40465,-,-,-,-,-,-,ARI Cardinals
Isaiah Adams,T,24,1086323,0.0043,-1165292,795000,291323,-,-,-,-,-,-,ARI Cardinals
