team,avg_pred_prob,actual_win_pct,predicted_rank,actual_rank,rank_diff,model,median_salary,avg_salary,total_salary,num_players,wins,losses,win_pct,points_scored,points_allowed,point_diff,games_played
MIN,0.7363596456678333,0.8235294117647058,1,3.5,-2.5,Logistic,1958333.0,3162163.6923076925,164432512.0,52.0,14,4,0.7777777777777778,441.0,359.0,82.0,18
BUF,0.7153691662759387,0.7647058823529411,2,5.0,-3.0,Logistic,1481500.0,3303931.754716981,175108383.0,53.0,15,5,0.75,612.0,432.0,180.0,20
PHI,0.6828927722952336,0.8235294117647058,3,3.5,-0.5,Logistic,1356667.0,3179949.245283019,168537310.0,53.0,18,3,0.8571428571428571,608.0,380.0,228.0,21
DET,0.6808487850018551,0.8823529411764706,4,1.5,2.5,Logistic,1252626.0,2916533.5576923075,151659745.0,52.0,15,3,0.8333333333333334,595.0,387.0,208.0,18
KC,0.6785755509623268,0.8823529411764706,5,1.5,3.5,Logistic,1334192.0,4249470.480769231,220972465.0,52.0,17,3,0.85,462.0,409.0,53.0,20
SEA,0.6529650128418396,0.5882352941176471,6,12.5,-6.5,Logistic,1082355.0,3287858.9615384615,170968666.0,52.0,10,7,0.5882352941176471,375.0,368.0,7.0,17
MIA,0.6120505240884802,0.47058823529411764,7,18.5,-11.5,Logistic,1475000.0,2610268.132075472,138344211.0,53.0,8,9,0.4705882352941176,345.0,364.0,-19.0,17
NO,0.5974940835685756,0.29411764705882354,8,24.5,-16.5,Logistic,1410000.0,2763322.4905660376,146456092.0,53.0,5,12,0.2941176470588235,338.0,398.0,-60.0,17
DAL,0.5885503147796508,0.4117647058823529,9,21.0,-12.0,Logistic,,,,,7,10,0.4117647058823529,350.0,468.0,-118.0,17
LAC,0.5767818455644214,0.6470588235294118,10,8.5,1.5,Logistic,1231914.0,3461561.6415094337,183462767.0,53.0,11,7,0.6111111111111112,414.0,333.0,81.0,18
TB,0.570750060360933,0.5882352941176471,11,12.5,-1.5,Logistic,1152500.0,2627369.603773585,139250589.0,53.0,10,8,0.5555555555555556,522.0,408.0,114.0,18
BAL,0.5514161144157371,0.7058823529411765,12,6.5,5.5,Logistic,1450708.5,4063566.296296296,219432580.0,54.0,13,6,0.6842105263157895,571.0,402.0,169.0,19
HOU,0.5463734881461351,0.5882352941176471,13,12.5,0.5,Logistic,1621764.0,3413713.6226415094,180926822.0,53.0,11,8,0.5789473684210527,418.0,407.0,11.0,19
