team,median_salary,avg_salary,total_salary,num_players
KC Chiefs,1334192.0,4249470.480769231,220972465.0,52
ATL Falcons,1685000.0,4147858.113207547,219836480.0,53
BAL Ravens,1450708.5,4063566.296296296,219432580.0,54
LAR Rams,1047957.0,3951826.2264150945,209446790.0,53
CHI Bears,1309952.0,3866948.2641509436,204948258.0,53
IND Colts,1430000.0,3761440.169811321,199356329.0,53
WAS Command,1735868.0,3513735.9433962265,186228005.0,53
CIN Bengals,1059933.0,3571960.8076923075,185741962.0,52
LAC Chargers,1231914.0,3461561.6415094337,183462767.0,53
PIT Steelers,1371675.0,3580664.0392156863,182613866.0,51
HOU Texans,1621764.0,3413713.6226415094,180926822.0,53
BUF Bills,1481500.0,3303931.754716981,175108383.0,53
SEA Seahawks,1082355.0,3287858.9615384615,170968666.0,52
PHI Eagles,1356667.0,3179949.245283019,168537310.0,53
ARI Cardinals,1055000.0,3111485.283018868,164908720.0,53
MIN Vikings,1958333.0,3162163.6923076925,164432512.0,52
NYJ Jets,1176024.0,2958533.0943396227,156802254.0,53
GB Packers,1118042.5,2971969.230769231,154542400.0,52
DET Lions,1252626.0,2916533.5576923075,151659745.0,52
DEN Broncos,1270706.0,2894917.8653846155,150535729.0,52
CAR Panthers,1125000.0,2841799.75,147773587.0,52
NO Saints,1410000.0,2763322.4905660376,146456092.0,53
JAX Jaguars,1389621.0,2695727.150943396,142873539.0,53
TEN Titans,988334.0,2680040.132075472,142042127.0,53
TB Buccaneers,1152500.0,2627369.603773585,139250589.0,53
MIA Dolphins,1475000.0,2610268.132075472,138344211.0,53
SF 49ers,1092500.0,2607576.7358490564,138201567.0,53
CLE Browns,1000568.0,2462932.1886792453,130535406.0,53
NE Patriots,1008018.0,2452934.6415094337,130005536.0,53
NYG Giants,1152500.0,2206632.4905660376,116951522.0,53
LV Raiders,995254.0,2102123.4905660376,111412545.0,53
DAL Cowboys,1045638.0,1839638.3018867925,97500830.0,53
