team,wins,losses,win_pct,points_scored,points_allowed,point_diff,games_played
PHI,18,3,0.8571428571428571,608.0,380.0,228.0,21
KC,17,3,0.85,462.0,409.0,53.0,20
DET,15,3,0.8333333333333334,595.0,387.0,208.0,18
MIN,14,4,0.7777777777777778,441.0,359.0,82.0,18
BUF,15,5,0.75,612.0,432.0,180.0,20
WAS,14,6,0.7,576.0,497.0,79.0,20
BAL,13,6,0.6842105263157895,571.0,402.0,169.0,19
LAC,11,7,0.6111111111111112,414.0,333.0,81.0,18
GB,11,7,0.6111111111111112,470.0,360.0,110.0,18
SEA,10,7,0.5882352941176471,375.0,368.0,7.0,17
HOU,11,8,0.5789473684210527,418.0,407.0,11.0,19
LA,11,8,0.5789473684210527,416.0,423.0,-7.0,19
TB,10,8,0.5555555555555556,522.0,408.0,114.0,18
PIT,10,8,0.5555555555555556,394.0,375.0,19.0,18
DEN,10,8,0.5555555555555556,432.0,342.0,90.0,18
CIN,9,8,0.5294117647058824,472.0,434.0,38.0,17
MIA,8,9,0.47058823529411764,345.0,364.0,-19.0,17
ARI,8,9,0.47058823529411764,400.0,379.0,21.0,17
IND,8,9,0.47058823529411764,377.0,427.0,-50.0,17
ATL,8,9,0.47058823529411764,389.0,423.0,-34.0,17
DAL,7,10,0.4117647058823529,350.0,468.0,-118.0,17
SF,6,11,0.35294117647058826,389.0,436.0,-47.0,17
CHI,5,12,0.29411764705882354,310.0,370.0,-60.0,17
NYJ,5,12,0.29411764705882354,338.0,404.0,-66.0,17
NO,5,12,0.29411764705882354,338.0,398.0,-60.0,17
CAR,5,12,0.29411764705882354,341.0,534.0,-193.0,17
NE,4,13,0.23529411764705882,289.0,417.0,-128.0,17
LV,4,13,0.23529411764705882,309.0,434.0,-125.0,17
JAX,4,13,0.23529411764705882,320.0,435.0,-115.0,17
CLE,3,14,0.17647058823529413,258.0,435.0,-177.0,17
NYG,3,14,0.17647058823529413,273.0,415.0,-142.0,17
TEN,3,14,0.17647058823529413,311.0,460.0,-149.0,17
