team,avg_pred_prob,actual_win_pct,predicted_rank,actual_rank,rank_diff,model
MIN,0.7363596456678333,0.8235294117647058,1,3.5,-2.5,Logistic
BUF,0.7153691662759387,0.7647058823529411,2,5.0,-3.0,Logistic
PHI,0.6828927722952336,0.8235294117647058,3,3.5,-0.5,Logistic
DET,0.6808487850018551,0.8823529411764706,4,1.5,2.5,Logistic
KC,0.6785755509623268,0.8823529411764706,5,1.5,3.5,Logistic
SEA,0.6529650128418396,0.5882352941176471,6,12.5,-6.5,Logistic
MIA,0.6120505240884802,0.47058823529411764,7,18.5,-11.5,Logistic
NO,0.5974940835685756,0.29411764705882354,8,24.5,-16.5,Logistic
DAL,0.5885503147796508,0.4117647058823529,9,21.0,-12.0,Logistic
LAC,0.5767818455644214,0.6470588235294118,10,8.5,1.5,Logistic
TB,0.570750060360933,0.5882352941176471,11,12.5,-1.5,Logistic
BAL,0.5514161144157371,0.7058823529411765,12,6.5,5.5,Logistic
HOU,0.5463734881461351,0.5882352941176471,13,12.5,0.5,Logistic
PIT,0.5381237584651196,0.5882352941176471,14,12.5,1.5,Logistic
CIN,0.5278508241175462,0.5294117647058824,15,16.0,-1.0,Logistic
GB,0.49282714792403653,0.6470588235294118,16,8.5,7.5,Logistic
DEN,0.4768602622308028,0.5882352941176471,17,12.5,4.5,Logistic
WAS,0.47116186003208776,0.7058823529411765,18,6.5,11.5,Logistic
LA,0.4530582025034064,0.5882352941176471,19,12.5,6.5,Logistic
CAR,0.4501200547355082,0.29411764705882354,20,24.5,-4.5,Logistic
IND,0.4417474819457008,0.47058823529411764,21,18.5,2.5,Logistic
ARI,0.43355392949973304,0.47058823529411764,22,18.5,3.5,Logistic
SF,0.39990155066018146,0.35294117647058826,23,22.0,1.0,Logistic
NE,0.3977522750170066,0.23529411764705882,24,28.0,-4.0,Logistic
CHI,0.3708225943733075,0.29411764705882354,25,24.5,0.5,Logistic
JAX,0.35948833529209373,0.23529411764705882,26,28.0,-2.0,Logistic
NYJ,0.3439599325560918,0.29411764705882354,27,24.5,2.5,Logistic
ATL,0.3426201598153882,0.47058823529411764,28,18.5,9.5,Logistic
TEN,0.34062537851277147,0.17647058823529413,29,31.0,-2.0,Logistic
CLE,0.31497895575970053,0.17647058823529413,30,31.0,-1.0,Logistic
LV,0.3050418749271311,0.23529411764705882,31,28.0,3.0,Logistic
NYG,0.291125487837067,0.17647058823529413,32,31.0,1.0,Logistic
