team,avg_pred_prob,actual_win_pct,predicted_rank,actual_rank,rank_diff,model
BUF,0.643033510351991,0.7647058823529411,1,5.0,-4.0,RandomForest
DET,0.6192073388239947,0.8823529411764706,2,1.5,0.5,RandomForest
KC,0.6161819308811394,0.8823529411764706,3,1.5,1.5,RandomForest
MIN,0.6136541086578238,0.8235294117647058,4,3.5,0.5,RandomForest
PHI,0.5994555471722449,0.8235294117647058,5,3.5,1.5,RandomForest
SEA,0.5719743442992061,0.5882352941176471,6,12.5,-6.5,RandomForest
CIN,0.5715361789672676,0.5294117647058824,7,16.0,-9.0,RandomForest
TB,0.5631964062945437,0.5882352941176471,8,12.5,-4.5,RandomForest
MIA,0.5588880830085822,0.47058823529411764,9,18.5,-9.5,RandomForest
NO,0.5580133944335447,0.29411764705882354,10,24.5,-14.5,RandomForest
BAL,0.5500060042055029,0.7058823529411765,11,6.5,4.5,RandomForest
LAC,0.5405921272743857,0.6470588235294118,12,8.5,3.5,RandomForest
WAS,0.5315469601788366,0.7058823529411765,13,6.5,6.5,RandomForest
HOU,0.5286334403120666,0.5882352941176471,14,12.5,1.5,RandomForest
DAL,0.5139226371578229,0.4117647058823529,15,21.0,-6.0,RandomForest
GB,0.5102346499311808,0.6470588235294118,16,8.5,7.5,RandomForest
PIT,0.5032423675172518,0.5882352941176471,17,12.5,4.5,RandomForest
IND,0.5020107799397302,0.47058823529411764,18,18.5,-0.5,RandomForest
LA,0.4814556400275284,0.5882352941176471,19,12.5,6.5,RandomForest
CAR,0.4758199193663696,0.29411764705882354,20,24.5,-4.5,RandomForest
ARI,0.46612665439280876,0.47058823529411764,21,18.5,2.5,RandomForest
DEN,0.4542912147166712,0.5882352941176471,22,12.5,9.5,RandomForest
SF,0.4527928241767772,0.35294117647058826,23,22.0,1.0,RandomForest
NE,0.44324927938446496,0.23529411764705882,24,28.0,-4.0,RandomForest
JAX,0.42165758825270244,0.23529411764705882,25,28.0,-3.0,RandomForest
ATL,0.4112453311195144,0.47058823529411764,26,18.5,7.5,RandomForest
NYJ,0.4076456445250047,0.29411764705882354,27,24.5,2.5,RandomForest
LV,0.40447177429134973,0.23529411764705882,28,28.0,0.0,RandomForest
CHI,0.3976482630070703,0.29411764705882354,29,24.5,4.5,RandomForest
TEN,0.39693287093823487,0.17647058823529413,30,31.0,-1.0,RandomForest
CLE,0.355216354271745,0.17647058823529413,31,31.0,0.0,RandomForest
NYG,0.35258445879573724,0.17647058823529413,32,31.0,1.0,RandomForest
