team,avg_pred_prob,actual_win_pct,predicted_rank,actual_rank,rank_diff,model
DET,0.7765296222815051,0.8823529411764706,1,1.5,-0.5,Stacked
BUF,0.7315147170676297,0.7647058823529411,2,5.0,-3.0,Stacked
MIA,0.6940659018524413,0.47058823529411764,3,18.5,-15.5,Stacked
CIN,0.6705674923525117,0.5294117647058824,4,16.0,-12.0,Stacked
MIN,0.6439280765554356,0.8235294117647058,5,3.5,1.5,Stacked
KC,0.6237651115034024,0.8823529411764706,6,1.5,4.5,Stacked
HOU,0.5877486602240389,0.5882352941176471,7,12.5,-5.5,Stacked
NO,0.5837135894586848,0.29411764705882354,8,24.5,-16.5,Stacked
PHI,0.5718289920170239,0.8235294117647058,9,3.5,5.5,Stacked
SF,0.5551999087030526,0.35294117647058826,10,22.0,-12.0,Stacked
TB,0.5513494464647625,0.5882352941176471,11,12.5,-1.5,Stacked
PIT,0.54626637458885,0.5882352941176471,12,12.5,-0.5,Stacked
ATL,0.5241342428300525,0.47058823529411764,13,18.5,-5.5,Stacked
BAL,0.5209865202823273,0.7058823529411765,14,6.5,7.5,Stacked
DAL,0.5097950860825834,0.4117647058823529,15,21.0,-6.0,Stacked
LA,0.5041139961187696,0.5882352941176471,16,12.5,3.5,Stacked
LV,0.48876086375285227,0.23529411764705882,17,28.0,-11.0,Stacked
GB,0.4846314589004628,0.6470588235294118,18,8.5,9.5,Stacked
WAS,0.4780117390020515,0.7058823529411765,19,6.5,12.5,Stacked
IND,0.4779394999999872,0.47058823529411764,20,18.5,1.5,Stacked
NE,0.4694161346908838,0.23529411764705882,21,28.0,-7.0,Stacked
LAC,0.4461981600754149,0.6470588235294118,22,8.5,13.5,Stacked
ARI,0.4178120236708018,0.47058823529411764,23,18.5,4.5,Stacked
CAR,0.41657138843804153,0.29411764705882354,24,24.5,-0.5,Stacked
DEN,0.39547839803134327,0.5882352941176471,25,12.5,12.5,Stacked
CHI,0.36398261333956006,0.29411764705882354,26,24.5,1.5,Stacked
SEA,0.3629714140785864,0.5882352941176471,27,12.5,14.5,Stacked
NYG,0.35531837623596896,0.17647058823529413,28,31.0,-3.0,Stacked
JAX,0.3377949380154319,0.23529411764705882,29,28.0,1.0,Stacked
NYJ,0.3346792321108631,0.29411764705882354,30,24.5,5.5,Stacked
CLE,0.24514279757943142,0.17647058823529413,31,31.0,0.0,Stacked
TEN,0.22251834783794228,0.17647058823529413,32,31.0,1.0,Stacked
