number,company,symbol,ytd_return
1,"Robinhood Markets, Inc.",,   264.47
2,Western Digital,,   169.64
3,Newmont,,   154.94
4,Seagate Technology,,   148.41
5,Micron Technology,,   145.69
6,Palantir Technologies,,   140.10
7,Lam Research,,   99.43
8,Advanced Micro Devices,,   99.16
9,Intel,,   90.02
10,NRG Energy,,   85.11
11,Amphenol,,   83.83
12,CVS Health,,   83.74
13,KLA Corporation,,   82.96
14,GE Aerospace,,   81.47
15,GE Vernova,,   80.61
16,Supermicro,,   80.58
17,Corning Inc.,,   79.46
18,"Tapestry, Inc.",,   78.08
19,Howmet Aerospace,,   76.03
20,AppLovin Corporation,,   74.76
21,Monolithic Power Systems,,   74.34
22,Warner Bros. Discovery,,   73.32
23,Oracle Corporation,,   66.33
24,Constellation Energy,,   65.39
25,Paramount Skydance Corp,,   62.43
26,DoorDash,,   58.19
27,TE Connectivity,,   58.05
28,Idexx Laboratories,,   55.62
29,Uber,,   55.34
30,eBay,,   54.40
31,"EMCOR Group, Inc.",,   54.26
32,Interactive Brokers Group,,   51.56
33,Huntington Ingalls Industries,,   51.23
34,Broadcom,,   50.64
35,CrowdStrike,,   47.19
36,Caterpillar Inc.,,   46.43
37,Cencora,,   45.71
38,HCA Healthcare,,   44.31
39,Ralph Lauren Corporation,,   44.17
40,Take-Two Interactive,,   42.49
41,United Rentals,,   42.00
42,Jabil,,   41.78
43,Wynn Resorts,,   41.53
44,BNY Mellon,,   41.22
45,Citigroup,,   41.07
46,Welltower,,   41.01
47,Vistra Corp.,,   40.89
48,Dollar General,,   40.39
49,Applied Materials,,   40.28
50,Johnson Controls,,   40.12
51,Quanta Services,,   39.45
52,Netflix,,   38.96
53,RTX Corporation,,   38.88
54,Coinbase Global,,   38.45
55,McKesson Corporation,,   38.24
56,L3Harris,,   38.18
57,Aptiv,,   37.90
58,Electronic Arts,,   37.11
59,Estée Lauder Companies (The),,   36.73
60,Allegion,,   36.19
61,Nvidia,,   36.00
62,Alphabet Inc. (Class A),,   35.53
63,Alphabet Inc. (Class C),,   34.96
64,Johnson & Johnson,,   33.95
65,Hasbro,,   33.77
66,Marathon Petroleum,,   33.53
67,Goldman Sachs,,   33.30
68,Gilead Sciences,,   33.28
69,Cardinal Health,,   32.98
70,Monster Beverage,,   32.72
71,Arista Networks,,   32.53
72,Leidos,,   32.23
73,Dollar Tree,,   32.13
74,TKO Group Holdings,,   31.46
75,Philip Morris International,,   31.33
76,Royal Caribbean Group,,   31.28
77,Invesco,,   30.66
78,Valero Energy,,   30.66
79,AbbVie,,   30.59
80,First Solar,,   29.94
81,IBM,,   29.03
82,Verisign,,   28.97
83,Morgan Stanley,,   28.83
84,Dell Technologies,,   28.31
85,Charles Schwab Corporation,,   28.29
86,Northrop Grumman,,   28.28
87,Steel Dynamics,,   28.24
88,Exelon,,   28.16
89,General Dynamics,,   27.97
90,Evergy,,   27.78
91,American Electric Power,,   27.75
92,O'Reilly Auto Parts,,   27.72
93,Atmos Energy,,   27.62
94,Entergy,,   27.55
95,LabCorp,,   26.87
96,Eversource Energy,,   26.85
97,CenterPoint Energy,,   26.76
98,Xylem Inc.,,   26.50
99,Generac,,   26.26
100,Quest Diagnostics,,   26.22
101,JPMorgan Chase,,   26.14
102,Northern Trust,,   25.71
